group,n,prevalence,predicted_positive_rate,accuracy,TPR,FPR,PPV,NPV,F1,ROC_AUC
60-69,139,0.34532374100719426,0.60431654676259,0.48201438848920863,0.625,0.5934065934065934,0.35714285714285715,0.6727272727272727,0.45454545454545453,0.516025641025641
70-79,144,0.3125,0.5416666666666666,0.4791666666666667,0.5333333333333333,0.5454545454545454,0.3076923076923077,0.6818181818181818,0.3902439024390244,0.49607182940516276
80-90,147,0.4013605442176871,0.4557823129251701,0.5374149659863946,0.4915254237288136,0.4318181818181818,0.43283582089552236,0.625,0.4603174603174603,0.5469953775038521
