group,n,prevalence,predicted_positive_rate,accuracy,TPR,FPR,PPV,NPV,F1,ROC_AUC
60-69,139,0.34532374100719426,0.45323741007194246,0.7913669064748201,0.8541666666666666,0.24175824175824176,0.6507936507936508,0.9078947368421053,0.7387387387387387,0.865613553113553
70-79,144,0.3125,0.3611111111111111,0.8263888888888888,0.8,0.16161616161616163,0.6923076923076923,0.9021739130434783,0.7422680412371134,0.8900112233445567
80-90,147,0.4013605442176871,0.4965986394557823,0.8231292517006803,0.8983050847457628,0.22727272727272727,0.726027397260274,0.918918918918919,0.803030303030303,0.9083204930662557
