group,n,prevalence,predicted_positive_rate,accuracy,TPR,FPR,PPV,NPV,F1,ROC_AUC
Bachelor's,118,0.3389830508474576,0.3983050847457627,0.7711864406779662,0.75,0.21794871794871795,0.6382978723404256,0.8591549295774648,0.6896551724137931,0.8105769230769231
High School,174,0.3850574712643678,0.4482758620689655,0.8333333333333334,0.8656716417910447,0.18691588785046728,0.7435897435897436,0.90625,0.8,0.9149114241874738
Higher,48,0.25,0.4375,0.7708333333333334,0.9166666666666666,0.2777777777777778,0.5238095238095238,0.9629629629629629,0.6666666666666666,0.8680555555555556
None,90,0.36666666666666664,0.4666666666666667,0.8555555555555555,0.9393939393939394,0.19298245614035087,0.7380952380952381,0.9583333333333334,0.8266666666666667,0.9436469962785752
