group,n,prevalence,predicted_positive_rate,accuracy,TPR,FPR,PPV,NPV,F1,ROC_AUC
Bachelor's,118,0.3389830508474576,0.4067796610169492,0.5254237288135594,0.4,0.41025641025641024,0.3333333333333333,0.6571428571428571,0.36363636363636365,0.46794871794871795
High School,174,0.3850574712643678,0.5344827586206896,0.5287356321839081,0.582089552238806,0.5046728971962616,0.41935483870967744,0.654320987654321,0.4875,0.5395452643325429
Higher,48,0.25,0.4166666666666667,0.4583333333333333,0.25,0.4722222222222222,0.15,0.6785714285714286,0.1875,0.42824074074074076
None,90,0.36666666666666664,0.7555555555555555,0.43333333333333335,0.7575757575757576,0.7543859649122807,0.36764705882352944,0.6363636363636364,0.49504950495049505,0.5699096225412015
