group,n,prevalence,predicted_positive_rate,accuracy,TPR,FPR,PPV,NPV,F1,ROC_AUC
African American,80,0.3,0.3375,0.5875,0.375,0.32142857142857145,0.3333333333333333,0.7169811320754716,0.35294117647058826,0.44419642857142855
Asian,50,0.36,0.84,0.4,0.8333333333333334,0.84375,0.35714285714285715,0.625,0.5,0.5190972222222222
Caucasian,263,0.3688212927756654,0.55893536121673,0.49049429657794674,0.5670103092783505,0.5542168674698795,0.3741496598639456,0.6379310344827587,0.45081967213114754,0.5244069059744132
Other,37,0.35135135135135137,0.35135135135135137,0.5135135135135135,0.3076923076923077,0.375,0.3076923076923077,0.625,0.3076923076923077,0.4807692307692307
