group,n,prevalence,predicted_positive_rate,accuracy,TPR,FPR,PPV,NPV,F1,ROC_AUC
African American,80,0.3,0.4125,0.8625,0.9583333333333334,0.17857142857142858,0.696969696969697,0.9787234042553191,0.8070175438596491,0.9427083333333333
Asian,50,0.36,0.46,0.7,0.7222222222222222,0.3125,0.5652173913043478,0.8148148148148148,0.6341463414634146,0.796875
Caucasian,263,0.3688212927756654,0.44106463878326996,0.8136882129277566,0.845360824742268,0.20481927710843373,0.7068965517241379,0.8979591836734694,0.7699530516431925,0.8856042727611477
Other,37,0.35135135135135137,0.43243243243243246,0.8648648648648649,0.9230769230769231,0.16666666666666666,0.75,0.9523809523809523,0.8275862068965517,0.9134615384615385
